---Min Power Records---
Gen 88 : 235.55512511646612
Gen 89 : 235.55512511646612
Gen 90 : 235.55512511646612
Gen 91 : 235.55512511646612
Gen 92 : 235.55512511646612
Gen 93 : 235.55512511646612
Gen 94 : 235.55512511646612
Gen 95 : 235.55512511646612
Gen 96 : 235.55512511646612
Gen 97 : 235.55512511646612
Gen 98 : 235.55512511646612
Gen 99 : 235.55512511646612
Gen 100 : 235.55512511646612
Gen 101 : 235.55512511646612
Gen 102 : 235.55512511646612
Gen 103 : 235.55512511646612
Gen 104 : 235.55512511646612
Gen 105 : 235.55512511646612
Gen 106 : 235.55512511646612
Gen 107 : 235.55512511646612
Gen 108 : 235.55512511646612
Gen 109 : 235.55512511646612
Gen 110 : 235.55512511646612
Gen 111 : 235.55512511646612
Gen 112 : 235.55512511646612
Gen 113 : 235.55512511646612
Gen 114 : 235.55512511646612
Gen 115 : 235.55512511646612
Gen 116 : 235.55512511646612
Gen 117 : 235.55512511646612
Gen 118 : 235.55512511646612
Gen 119 : 235.55512511646612
Gen 120 : 235.55512511646612
Gen 121 : 235.55512511646612
Gen 122 : 235.55512511646612
Gen 123 : 235.55512511646612
Gen 124 : 235.55512511646612
Gen 125 : 235.55512511646612
Gen 126 : 235.55512511646612
Gen 127 : 235.55512511646612
Gen 128 : 235.55512511646612
Gen 129 : 235.55512511646612
Gen 130 : 235.55512511646612
Gen 131 : 235.55512511646612
Gen 132 : 235.55512511646612
Gen 133 : 235.55512511646612
Gen 134 : 235.55512511646612
Gen 135 : 235.55512511646612
Gen 136 : 235.55512511646612
Gen 137 : 235.55512511646612
Gen 138 : 235.55512511646612
Gen 139 : 235.55512511646612
Gen 140 : 235.55512511646612
Gen 141 : 235.55512511646612
Gen 142 : 235.55512511646612
Gen 143 : 235.55512511646612
Gen 144 : 235.55512511646612
Gen 145 : 235.55512511646612
Gen 146 : 235.55512511646612
Gen 147 : 235.55512511646612
Gen 148 : 235.55512511646612
Gen 149 : 235.55512511646612
Gen 150 : 235.55512511646612
Gen 151 : 235.55512511646612
Gen 152 : 235.55512511646612
Gen 153 : 235.55512511646612
Gen 154 : 235.55512511646612
Gen 155 : 235.55512511646612
Gen 156 : 235.55512511646612
Gen 157 : 235.55512511646612
Gen 158 : 235.55512511646612
Gen 159 : 235.55512511646612
Gen 160 : 235.55512511646612
Gen 161 : 235.55512511646612
Gen 162 : 235.55512511646612
Gen 163 : 235.55512511646612
Gen 164 : 235.55512511646612
Gen 165 : 235.55512511646612
Gen 166 : 235.55512511646612
Gen 167 : 235.55512511646612
Gen 168 : 235.55512511646612
Gen 169 : 235.55512511646612
Gen 170 : 235.55512511646612
Gen 171 : 235.55512511646612
Gen 172 : 235.55512511646612
Gen 173 : 235.55512511646612
Gen 174 : 235.55512511646612
