---Mean Power Records---
Gen 1 : 7370.174285353034
Gen 2 : 6997.140045763098
Gen 3 : 6949.722988497118
Gen 4 : 6515.635368945674
Gen 5 : 6442.212171107827
Gen 6 : 6871.597219595801
Gen 7 : 6704.414001277751
Gen 8 : 6197.722220407966
Gen 9 : 4388.359698584567
Gen 10 : 4182.901266883467
Gen 11 : 5231.473662469016
Gen 12 : 4657.089253423591
Gen 13 : 4937.626902655967
Gen 14 : 4054.2156050630533
Gen 15 : 4890.9354304802755
Gen 16 : 4149.365378722652
Gen 17 : 4301.140453460763
Gen 18 : 4883.800417259392
Gen 19 : 4575.363215482188
Gen 20 : 4317.910001141007
Gen 21 : 4333.986861194827
Gen 22 : 5187.652210699829
Gen 23 : 4607.729454000801
Gen 24 : 4078.0687109498995
Gen 25 : 4590.110696717465
Gen 26 : 4138.594287658795
Gen 27 : 4524.809115632702
Gen 28 : 4311.800219616969
Gen 29 : 4923.643134060304
Gen 30 : 4665.206837300388
Gen 31 : 4538.444210657546
Gen 32 : 4485.116470714733
Gen 33 : 5037.4290906808355
Gen 34 : 4612.71946936163
Gen 35 : 4496.519577097767
Gen 36 : 4445.567152978801
Gen 37 : 3984.8141858624513
Gen 38 : 4482.529115015544
Gen 39 : 4122.4248735194
Gen 40 : 4408.941544813055
Gen 41 : 4326.849410927432
Gen 42 : 4910.891820578961
Gen 43 : 5694.625969643068
Gen 44 : 3658.5837146723125
Gen 45 : 4300.572856832323
Gen 46 : 3944.614111624823
Gen 47 : 3384.73880623146
Gen 48 : 4088.398100433909
Gen 49 : 4623.502786724979
Gen 50 : 3961.3127280801154
Gen 51 : 4035.8861543458615
Gen 52 : 4049.625538748731
Gen 53 : 4335.7946720162545
Gen 54 : 4306.335917305734
Gen 55 : 3880.6254838387836
Gen 56 : 4668.493941431858
Gen 57 : 3747.442217362671
Gen 58 : 3799.325851299894
Gen 59 : 3771.8346697968145
Gen 60 : 3966.9431468989096
Gen 61 : 4697.2491871608345
Gen 62 : 4274.959047189033
Gen 63 : 5505.258173754329
Gen 64 : 5157.804271822863
Gen 65 : 6028.570817498751
Gen 66 : 5564.834164461561
Gen 67 : 5778.353702444931
Gen 68 : 5996.93640822699
Gen 69 : 7028.720745777721
Gen 70 : 7278.42655371157
Gen 71 : 7538.1224451685075
Gen 72 : 7517.834218386249
Gen 73 : 7029.240679188714
Gen 74 : 7689.759073968201
Gen 75 : 7632.290413968289
Gen 76 : 7805.164555151894
Gen 77 : 7792.703215999813
Gen 78 : 8399.822064888069
Gen 79 : 7896.717021278659
Gen 80 : 7639.579566554611
Gen 81 : 7708.454757988645
Gen 82 : 8302.025821848152
Gen 83 : 7378.952604663864
Gen 84 : 6886.272057394298
Gen 85 : 7859.527820395028
Gen 86 : 8643.19534479236
Gen 87 : 8160.61555098972
Gen 88 : 6539.508264840842
Gen 89 : 6498.018006227293
Gen 90 : 5257.924183408454
Gen 91 : 4641.011224467999
Gen 92 : 2855.3548541733417
Gen 93 : 3126.6177781090823
Gen 94 : 3196.9401261847256
Gen 95 : 2932.5332291301324
Gen 96 : 2782.7277587839917
Gen 97 : 2702.310011680559
Gen 98 : 3471.1127755285947
Gen 99 : 3825.7725251017578
Gen 100 : 2467.3310395410817
Gen 101 : 3979.635552157659
Gen 102 : 2633.0572666320613
Gen 103 : 3366.0257455996075
Gen 104 : 2889.391762738469
Gen 105 : 2660.7031893654857
Gen 106 : 3249.6407635783403
Gen 107 : 2684.1811942705062
Gen 108 : 3293.775921732591
Gen 109 : 2941.265979052
Gen 110 : 4317.253125426501
Gen 111 : 2832.2795913543146
Gen 112 : 3651.9718513527578
Gen 113 : 2888.026084363617
Gen 114 : 2904.053538661816
Gen 115 : 3404.013651517315
Gen 116 : 2669.0343210766505
Gen 117 : 3015.3838504899113
Gen 118 : 2675.038416513972
Gen 119 : 3145.287250673117
Gen 120 : 2830.1756035247286
Gen 121 : 2524.3673743655963
Gen 122 : 2810.0789068930103
Gen 123 : 3395.205025751416
Gen 124 : 2699.9500594089604
Gen 125 : 2703.5016493925973
Gen 126 : 2383.732799933845
Gen 127 : 3291.2493641987608
Gen 128 : 2031.7328885240686
Gen 129 : 2516.9773431919157
Gen 130 : 2414.9609329682216
Gen 131 : 2291.9933617111587
Gen 132 : 1479.2729377925714
Gen 133 : 1922.2429182304897
Gen 134 : 2499.0250776792464
Gen 135 : 2638.1947403633258
Gen 136 : 2617.3336185634
Gen 137 : 2778.3815663692053
Gen 138 : 2087.7400609504007
Gen 139 : 3388.8156002498354
Gen 140 : 3009.347723444301
Gen 141 : 2560.124620246493
Gen 142 : 2263.3226952822283
Gen 143 : 2149.9299050220625
Gen 144 : 2555.341416764681
Gen 145 : 1948.1633311622309
Gen 146 : 2206.060869333402
Gen 147 : 2814.206782673865
Gen 148 : 2186.3196392524383
Gen 149 : 3126.8119089666197
Gen 150 : 2331.904308645064
Gen 151 : 2604.466443209222
Gen 152 : 2536.608993096462
Gen 153 : 2214.6587295976406
Gen 154 : 2364.8452728760262
Gen 155 : 1878.2819127925807
Gen 156 : 2716.115969848924
Gen 157 : 2813.010676781398
Gen 158 : 3087.091766685395
Gen 159 : 2136.782654524899
Gen 160 : 1933.1465032165825
Gen 161 : 2420.288801331779
Gen 162 : 2494.8946621691234
Gen 163 : 2052.569439006533
Gen 164 : 2142.773826107342
Gen 165 : 2585.5084617850944
Gen 166 : 2067.3148502915774
Gen 167 : 1948.7975509747084
Gen 168 : 2162.0332649194283
Gen 169 : 1246.7837553340382
Gen 170 : 1621.0101394603976
Gen 171 : 1658.361956589882
Gen 172 : 2570.129359389761
Gen 173 : 2587.059594742435
Gen 174 : 2645.417291087153
Gen 175 : 2336.9202314920262
Gen 176 : 2328.5630210767285
Gen 177 : 1555.303793979438
Gen 178 : 1504.9124313249918
Gen 179 : 1862.3821130380122
Gen 180 : 2200.923042349797
Gen 181 : 2054.1537566769352
Gen 182 : 1845.5180469122197
Gen 183 : 2159.373159189222
Gen 184 : 1357.7283593321815
Gen 185 : 1927.6558304561554
Gen 186 : 1923.7211888905572
Gen 187 : 1996.4423640073248
Gen 188 : 2261.5110666839887
Gen 189 : 1363.9362385378213
Gen 190 : 1741.9574918849873
Gen 191 : 2525.617708462033
Gen 192 : 1974.6769083702216
Gen 193 : 1776.6875721133558
Gen 194 : 1978.3251942651116
Gen 195 : 2207.9581852409183
Gen 196 : 1667.2456680932428
Gen 197 : 1182.2959329074552
Gen 198 : 2182.68606604935
Gen 199 : 1877.7188140092596
Gen 200 : 1682.5129446020742
Gen 201 : 1887.9797877640071
Gen 202 : 1704.2293519671364
Gen 203 : 1927.5959869207918
Gen 204 : 1646.5806905726895
Gen 205 : 1795.1840916844649
Gen 206 : 1729.8570881364553
Gen 207 : 984.1371811576269
Gen 208 : 2408.0702656236786
Gen 209 : 826.5188967307045
Gen 210 : 1474.2200144395601
Gen 211 : 1337.7886370513697
Gen 212 : 1177.8605128173363
Gen 213 : 1335.2421658071808
Gen 214 : 947.1147151941566
Gen 215 : 1302.7761804539457
Gen 216 : 2671.3810330954284
Gen 217 : 1702.1607676636252
Gen 218 : 1755.8090904834912
Gen 219 : 1958.368348359936
Gen 220 : 1252.0323135493038
Gen 221 : 2353.7235465076556
Gen 222 : 1737.4969110411998
Gen 223 : 1216.112598704078
Gen 224 : 2077.6390485756574
Gen 225 : 1510.9126746855059
Gen 226 : 1614.2518074302066
Gen 227 : 1651.2857244413103
Gen 228 : 1551.275541070415
Gen 229 : 1091.223557640505
Gen 230 : 1821.8542055825446
Gen 231 : 1156.0495453147203
Gen 232 : 1138.4441982296396
Gen 233 : 1851.9357975662545
Gen 234 : 1950.9271860747685
Gen 235 : 1455.1142406148756
Gen 236 : 1531.910941691911
Gen 237 : 903.1165201143826
Gen 238 : 1336.1480208869648
Gen 239 : 1810.3749491768338
Gen 240 : 1598.5647493161614
Gen 241 : 1324.818331705717
Gen 242 : 1509.9025802678934
Gen 243 : 1029.1404485130379
Gen 244 : 1222.1986344108739
Gen 245 : 1644.6442593116633
Gen 246 : 1162.9892432766528
Gen 247 : 1156.8966657327026
Gen 248 : 1429.5137069099508
Gen 249 : 1189.1977417285957
Gen 250 : 1016.0332111082566
