---Min Power Records---
Gen 1 : 3112.7868936520913
Gen 2 : 2806.84950931959
Gen 3 : 2589.3716252009294
Gen 4 : 2589.3716252009294
Gen 5 : 2589.3716252009294
Gen 6 : 2589.3716252009294
Gen 7 : 2589.3716252009294
Gen 8 : 2589.3716252009294
Gen 9 : 2589.3716252009294
Gen 10 : 2589.3716252009294
Gen 11 : 2589.3716252009294
Gen 12 : 2589.3716252009294
Gen 13 : 2549.93862140695
Gen 14 : 2549.93862140695
Gen 15 : 2549.93862140695
Gen 16 : 2549.93862140695
Gen 17 : 2472.296320143968
Gen 18 : 2472.296320143968
Gen 19 : 2472.296320143968
Gen 20 : 2472.296320143968
Gen 21 : 2472.296320143968
Gen 22 : 2472.296320143968
Gen 23 : 2472.296320143968
Gen 24 : 2472.296320143968
Gen 25 : 2472.296320143968
Gen 26 : 2472.296320143968
Gen 27 : 2472.296320143968
Gen 28 : 2472.296320143968
Gen 29 : 2472.296320143968
Gen 30 : 2472.296320143968
Gen 31 : 2472.296320143968
Gen 32 : 2472.296320143968
Gen 33 : 2472.296320143968
Gen 34 : 2472.296320143968
Gen 35 : 2472.296320143968
Gen 36 : 2472.296320143968
Gen 37 : 2472.296320143968
Gen 38 : 2472.296320143968
Gen 39 : 2472.296320143968
Gen 40 : 2472.296320143968
Gen 41 : 2472.296320143968
Gen 42 : 2472.296320143968
Gen 43 : 2472.296320143968
Gen 44 : 2472.296320143968
Gen 45 : 2472.296320143968
Gen 46 : 2472.296320143968
Gen 47 : 2472.296320143968
Gen 48 : 2472.296320143968
Gen 49 : 2472.296320143968
Gen 50 : 2472.296320143968
Gen 51 : 2472.296320143968
Gen 52 : 2472.296320143968
Gen 53 : 2472.296320143968
Gen 54 : 2472.296320143968
Gen 55 : 2472.296320143968
Gen 56 : 2472.296320143968
Gen 57 : 2472.296320143968
Gen 58 : 2472.296320143968
Gen 59 : 2472.296320143968
Gen 60 : 2472.296320143968
Gen 61 : 2472.296320143968
Gen 62 : 2472.296320143968
Gen 63 : 2472.296320143968
Gen 64 : 2472.296320143968
Gen 65 : 2472.296320143968
Gen 66 : 2472.296320143968
Gen 67 : 2472.296320143968
Gen 68 : 2472.296320143968
Gen 69 : 2472.296320143968
Gen 70 : 2472.296320143968
Gen 71 : 2472.296320143968
Gen 72 : 2472.296320143968
Gen 73 : 2472.296320143968
Gen 74 : 2472.296320143968
Gen 75 : 2472.296320143968
Gen 76 : 2472.296320143968
Gen 77 : 2472.296320143968
Gen 78 : 2472.296320143968
Gen 79 : 2472.296320143968
Gen 80 : 2472.296320143968
Gen 81 : 2472.296320143968
Gen 82 : 2472.296320143968
Gen 83 : 2472.296320143968
Gen 84 : 2472.296320143968
Gen 85 : 2472.296320143968
Gen 86 : 2472.296320143968
Gen 87 : 2472.296320143968
Gen 88 : 2472.296320143968
Gen 89 : 2472.296320143968
Gen 90 : 2472.296320143968
Gen 91 : 2472.296320143968
Gen 92 : 2472.296320143968
Gen 93 : 2472.296320143968
Gen 94 : 2472.296320143968
Gen 95 : 2472.296320143968
Gen 96 : 2472.296320143968
Gen 97 : 2472.296320143968
Gen 98 : 2472.296320143968
Gen 99 : 2472.296320143968
Gen 100 : 2472.296320143968
Gen 101 : 2472.296320143968
Gen 102 : 2472.296320143968
Gen 103 : 2472.296320143968
Gen 104 : 2472.296320143968
Gen 105 : 2472.296320143968
Gen 106 : 2472.296320143968
Gen 107 : 2472.296320143968
Gen 108 : 2472.296320143968
Gen 109 : 2472.296320143968
Gen 110 : 2472.296320143968
Gen 111 : 2472.296320143968
Gen 112 : 2472.296320143968
Gen 113 : 2472.296320143968
Gen 114 : 2472.296320143968
Gen 115 : 2472.296320143968
Gen 116 : 2472.296320143968
Gen 117 : 2472.296320143968
Gen 118 : 2472.296320143968
Gen 119 : 2472.296320143968
Gen 120 : 2472.296320143968
Gen 121 : 2472.296320143968
Gen 122 : 2472.296320143968
Gen 123 : 2472.296320143968
Gen 124 : 2472.296320143968
Gen 125 : 2472.296320143968
Gen 126 : 2472.296320143968
Gen 127 : 2472.296320143968
Gen 128 : 2472.296320143968
Gen 129 : 2472.296320143968
Gen 130 : 2472.296320143968
Gen 131 : 2472.296320143968
Gen 132 : 2472.296320143968
Gen 133 : 2472.296320143968
Gen 134 : 2472.296320143968
Gen 135 : 2472.296320143968
Gen 136 : 2472.296320143968
Gen 137 : 2472.296320143968
Gen 138 : 2472.296320143968
Gen 139 : 2472.296320143968
Gen 140 : 2472.296320143968
Gen 141 : 2472.296320143968
Gen 142 : 2472.296320143968
Gen 143 : 2472.296320143968
Gen 144 : 2472.296320143968
Gen 145 : 2472.296320143968
Gen 146 : 2472.296320143968
Gen 147 : 2472.296320143968
Gen 148 : 2472.296320143968
Gen 149 : 2472.296320143968
Gen 150 : 2472.296320143968
Gen 151 : 2472.296320143968
Gen 152 : 2472.296320143968
Gen 153 : 2472.296320143968
Gen 154 : 2472.296320143968
Gen 155 : 2472.296320143968
Gen 156 : 2472.296320143968
Gen 157 : 2472.296320143968
Gen 158 : 2472.296320143968
Gen 159 : 2472.296320143968
Gen 160 : 2472.296320143968
Gen 161 : 2472.296320143968
Gen 162 : 2472.296320143968
Gen 163 : 2472.296320143968
Gen 164 : 2472.296320143968
Gen 165 : 2472.296320143968
Gen 166 : 2472.296320143968
Gen 167 : 2472.296320143968
Gen 168 : 2472.296320143968
Gen 169 : 2472.296320143968
Gen 170 : 2472.296320143968
Gen 171 : 2472.296320143968
Gen 172 : 2472.296320143968
Gen 173 : 2472.296320143968
Gen 174 : 2472.296320143968
Gen 175 : 2472.296320143968
Gen 176 : 2472.296320143968
Gen 177 : 2472.296320143968
Gen 178 : 2472.296320143968
Gen 179 : 2472.296320143968
Gen 180 : 2472.296320143968
Gen 181 : 2472.296320143968
Gen 182 : 2472.296320143968
Gen 183 : 2472.296320143968
Gen 184 : 2472.296320143968
Gen 185 : 0.0
Gen 186 : 0.0
Gen 187 : 0.0
Gen 188 : 0.0
Gen 189 : 0.0
Gen 190 : 0.0
Gen 191 : 0.0
Gen 192 : 0.0
Gen 193 : 0.0
Gen 194 : 0.0
Gen 195 : 0.0
Gen 196 : 0.0
Gen 197 : 0.0
Gen 198 : 0.0
Gen 199 : 0.0
Gen 200 : 0.0
Gen 201 : 0.0
Gen 202 : 0.0
Gen 203 : 0.0
Gen 204 : 0.0
Gen 205 : 0.0
Gen 206 : 0.0
Gen 207 : 0.0
Gen 208 : 0.0
Gen 209 : 0.0
Gen 210 : 0.0
Gen 211 : 0.0
Gen 212 : 0.0
Gen 213 : 0.0
Gen 214 : 0.0
Gen 215 : 0.0
Gen 216 : 0.0
Gen 217 : 0.0
Gen 218 : 0.0
Gen 219 : 0.0
Gen 220 : 0.0
Gen 221 : 0.0
Gen 222 : 0.0
Gen 223 : 0.0
Gen 224 : 0.0
Gen 225 : 0.0
Gen 226 : 0.0
Gen 227 : 0.0
Gen 228 : 0.0
Gen 229 : 0.0
Gen 230 : 0.0
Gen 231 : 0.0
Gen 232 : 0.0
Gen 233 : 0.0
Gen 234 : 0.0
Gen 235 : 0.0
Gen 236 : 0.0
Gen 237 : 0.0
Gen 238 : 0.0
Gen 239 : 0.0
Gen 240 : 0.0
Gen 241 : 0.0
Gen 242 : 0.0
Gen 243 : 0.0
Gen 244 : 0.0
Gen 245 : 0.0
Gen 246 : 0.0
Gen 247 : 0.0
Gen 248 : 0.0
Gen 249 : 0.0
Gen 250 : 0.0
Gen 251 : 0.0
Gen 252 : 0.0
Gen 253 : 0.0
Gen 254 : 0.0
Gen 255 : 0.0
Gen 256 : 0.0
Gen 257 : 0.0
Gen 258 : 0.0
Gen 259 : 0.0
Gen 260 : 0.0
Gen 261 : 0.0
Gen 262 : 0.0
Gen 263 : 0.0
Gen 264 : 0.0
Gen 265 : 0.0
Gen 266 : 0.0
Gen 267 : 0.0
Gen 268 : 0.0
Gen 269 : 0.0
Gen 270 : 0.0
Gen 271 : 0.0
Gen 272 : 0.0
Gen 273 : 0.0
Gen 274 : 0.0
Gen 275 : 0.0
Gen 276 : 0.0
Gen 277 : 0.0
Gen 278 : 0.0
Gen 279 : 0.0
Gen 280 : 0.0
Gen 281 : 0.0
Gen 282 : 0.0
Gen 283 : 0.0
Gen 284 : 0.0
Gen 285 : 0.0
Gen 286 : 0.0
Gen 287 : 0.0
Gen 288 : 0.0
Gen 289 : 0.0
Gen 290 : 0.0
Gen 291 : 0.0
Gen 292 : 0.0
Gen 293 : 0.0
Gen 294 : 0.0
Gen 295 : 0.0
Gen 296 : 0.0
Gen 297 : 0.0
Gen 298 : 0.0
Gen 299 : 0.0
Gen 300 : 0.0
Gen 301 : 0.0
Gen 302 : 0.0
Gen 303 : 0.0
Gen 304 : 0.0
Gen 305 : 0.0
Gen 306 : 0.0
Gen 307 : 0.0
Gen 308 : 0.0
Gen 309 : 0.0
Gen 310 : 0.0
Gen 311 : 0.0
Gen 312 : 0.0
Gen 313 : 0.0
Gen 314 : 0.0
Gen 315 : 0.0
Gen 316 : 0.0
Gen 317 : 0.0
Gen 318 : 0.0
Gen 319 : 0.0
Gen 320 : 0.0
Gen 321 : 0.0
Gen 322 : 0.0
Gen 323 : 0.0
Gen 324 : 0.0
Gen 325 : 0.0
Gen 326 : 0.0
Gen 327 : 0.0
Gen 328 : 0.0
Gen 329 : 0.0
Gen 330 : 0.0
Gen 331 : 0.0
Gen 332 : 0.0
Gen 333 : 0.0
Gen 334 : 0.0
Gen 335 : 0.0
Gen 336 : 0.0
Gen 337 : 0.0
Gen 338 : 0.0
Gen 339 : 0.0
Gen 340 : 0.0
Gen 341 : 0.0
Gen 342 : 0.0
Gen 343 : 0.0
Gen 344 : 0.0
Gen 345 : 0.0
Gen 346 : 0.0
Gen 347 : 0.0
Gen 348 : 0.0
Gen 349 : 0.0
Gen 350 : 0.0
Gen 351 : 0.0
Gen 352 : 0.0
Gen 353 : 0.0
Gen 354 : 0.0
Gen 355 : 0.0
Gen 356 : 0.0
Gen 357 : 0.0
Gen 358 : 0.0
Gen 359 : 0.0
Gen 360 : 0.0
Gen 361 : 0.0
Gen 362 : 0.0
Gen 363 : 0.0
Gen 364 : 0.0
Gen 365 : 0.0
Gen 366 : 0.0
Gen 367 : 0.0
Gen 368 : 0.0
Gen 369 : 0.0
Gen 370 : 0.0
Gen 371 : 0.0
Gen 372 : 0.0
Gen 373 : 0.0
Gen 374 : 0.0
Gen 375 : 0.0
Gen 376 : 0.0
Gen 377 : 0.0
Gen 378 : 0.0
Gen 379 : 0.0
Gen 380 : 0.0
