---Mean Power Records---
Gen 1 : 9188.724095352844
Gen 2 : 9092.231638178982
Gen 3 : 8250.93626545821
Gen 4 : 8404.944188255442
Gen 5 : 8827.158009937362
Gen 6 : 8887.203555917253
Gen 7 : 8567.927613671307
Gen 8 : 8384.04754894367
Gen 9 : 8215.791634779027
Gen 10 : 8334.859323461653
Gen 11 : 7748.663841562643
Gen 12 : 9038.739577984717
Gen 13 : 8326.889062000979
Gen 14 : 8510.515331148083
Gen 15 : 8622.869938025096
Gen 16 : 8238.563500091836
Gen 17 : 7432.187987660559
Gen 18 : 7589.442354904549
Gen 19 : 8196.523909662075
Gen 20 : 7203.296919522587
Gen 21 : 8395.300245973764
Gen 22 : 8068.293753581946
Gen 23 : 7682.171795309863
Gen 24 : 7576.172730763643
Gen 25 : 8113.915298383163
Gen 26 : 8374.120304157535
Gen 27 : 8056.1100019265095
Gen 28 : 7812.872370493252
Gen 29 : 8501.524474467182
Gen 30 : 9102.512284285971
Gen 31 : 7878.155638928053
Gen 32 : 6561.050148181731
Gen 33 : 6169.144199792344
Gen 34 : 6360.02888440332
Gen 35 : 7106.730850148102
Gen 36 : 7363.606626571565
Gen 37 : 7499.636661771022
Gen 38 : 8213.823281475186
Gen 39 : 6910.468610955206
Gen 40 : 7718.226760150077
Gen 41 : 7580.822794835445
Gen 42 : 6722.053888418007
Gen 43 : 6496.643689044277
Gen 44 : 4712.065438021724
Gen 45 : 4964.2134384490055
Gen 46 : 4871.369763224795
Gen 47 : 4516.147583359252
Gen 48 : 5325.657538057838
Gen 49 : 4575.501958600159
Gen 50 : 4577.370661567434
Gen 51 : 4475.787796907603
Gen 52 : 4503.448207419534
Gen 53 : 4866.373057589617
Gen 54 : 4996.939551323724
Gen 55 : 5355.549585569006
Gen 56 : 4969.374316267823
Gen 57 : 5243.198314230516
Gen 58 : 5279.986574084721
Gen 59 : 5007.172852186432
Gen 60 : 4099.534211950392
Gen 61 : 4700.654102281187
Gen 62 : 4951.0018072289195
Gen 63 : 4706.203687083029
Gen 64 : 4453.335072547548
Gen 65 : 5456.685806788903
Gen 66 : 5087.785484401018
Gen 67 : 4471.379561464862
Gen 68 : 5213.771967561851
Gen 69 : 5179.281521298008
Gen 70 : 5206.522909647612
Gen 71 : 5857.7962785528925
Gen 72 : 5096.091988411582
Gen 73 : 4793.893803599991
Gen 74 : 4960.9731429418025
Gen 75 : 4284.589819556599
Gen 76 : 4557.957969957641
Gen 77 : 5446.598976992299
Gen 78 : 4293.28317675168
Gen 79 : 5059.0280371769
Gen 80 : 5392.977915289173
Gen 81 : 4594.6954230608635
Gen 82 : 4626.01954233928
Gen 83 : 4723.6681016388175
Gen 84 : 4906.419023977665
Gen 85 : 5090.89890696147
Gen 86 : 4889.944693611397
Gen 87 : 5232.799399770226
Gen 88 : 4806.460874172219
Gen 89 : 3902.9797038182887
Gen 90 : 5353.271985850616
Gen 91 : 3907.9662004954234
Gen 92 : 4128.543058198126
Gen 93 : 5227.636099422552
Gen 94 : 4368.175060970739
Gen 95 : 4541.834091270013
Gen 96 : 4024.6339274680354
Gen 97 : 5120.66165848037
Gen 98 : 4220.913188092398
Gen 99 : 5110.087059941339
Gen 100 : 4419.280082987086
Gen 101 : 4458.005506932201
Gen 102 : 4663.021588348224
Gen 103 : 4179.16072427422
Gen 104 : 4519.974449562199
Gen 105 : 4435.461076182679
Gen 106 : 5032.603227566531
Gen 107 : 4142.242300235577
Gen 108 : 4757.788817385668
Gen 109 : 4939.680911057433
Gen 110 : 4774.826011236636
Gen 111 : 5017.336688092432
Gen 112 : 4019.5894104941435
Gen 113 : 4163.302033343163
Gen 114 : 4255.709400375968
Gen 115 : 4592.592866009455
Gen 116 : 4650.267121596168
Gen 117 : 4319.538179628527
Gen 118 : 4326.97643037642
Gen 119 : 4555.3057018224445
Gen 120 : 4654.781685330712
Gen 121 : 4715.154263042676
Gen 122 : 4543.83126172018
Gen 123 : 4620.408219220357
Gen 124 : 4975.011858997824
Gen 125 : 4690.805932753039
Gen 126 : 3920.327007688148
Gen 127 : 4309.669793510304
Gen 128 : 3945.3982464610763
Gen 129 : 5796.796711304813
Gen 130 : 4306.433339782662
Gen 131 : 5125.957242931872
Gen 132 : 4257.8055706476935
Gen 133 : 4396.493527570446
Gen 134 : 5142.624392436597
Gen 135 : 4012.5632615256654
Gen 136 : 4524.37789564793
Gen 137 : 4515.801296381367
Gen 138 : 4337.907663438186
Gen 139 : 4235.323794102268
Gen 140 : 4041.1900954373355
Gen 141 : 4009.435790816141
Gen 142 : 4973.370198742343
Gen 143 : 4307.854131814333
Gen 144 : 4603.329591375066
Gen 145 : 4692.037872591026
Gen 146 : 3705.7203461269664
Gen 147 : 3967.1964803007463
Gen 148 : 4508.472981489764
Gen 149 : 4100.185753963143
Gen 150 : 4444.677483772561
Gen 151 : 4436.30255988858
Gen 152 : 4739.074197814408
Gen 153 : 5356.904355672011
Gen 154 : 4733.25627873411
Gen 155 : 4371.454199826276
Gen 156 : 4438.407988563628
Gen 157 : 4946.784227467298
Gen 158 : 4141.372238176613
Gen 159 : 3598.6025812853045
Gen 160 : 3972.4931608278584
Gen 161 : 4853.080731432481
Gen 162 : 4388.723142980158
Gen 163 : 4414.4264127179995
Gen 164 : 4269.109690914457
Gen 165 : 4305.418002791597
Gen 166 : 4443.568857452039
Gen 167 : 3561.0084220679255
Gen 168 : 4192.488258480895
Gen 169 : 3929.782361483122
Gen 170 : 4920.127646022597
Gen 171 : 3699.2673494725977
Gen 172 : 3931.424113997412
Gen 173 : 3738.521730149776
Gen 174 : 4143.478102532182
Gen 175 : 4147.4582863572405
Gen 176 : 4225.291130983474
Gen 177 : 3678.110180857646
Gen 178 : 4300.889434656866
Gen 179 : 3690.362903029463
Gen 180 : 3900.9656335333634
Gen 181 : 4017.1859004242533
Gen 182 : 4225.733725652364
Gen 183 : 3948.4880761193726
Gen 184 : 3331.073010852294
Gen 185 : 0.0
Gen 186 : 0.0
Gen 187 : 0.0
Gen 188 : 0.0
Gen 189 : 0.0
Gen 190 : 0.0
Gen 191 : 0.0
Gen 192 : 0.0
Gen 193 : 0.0
Gen 194 : 0.0
Gen 195 : 0.0
Gen 196 : 0.0
Gen 197 : 0.0
Gen 198 : 0.0
Gen 199 : 0.0
Gen 200 : 0.0
Gen 201 : 0.0
Gen 202 : 0.0
Gen 203 : 0.0
Gen 204 : 0.0
Gen 205 : 0.0
Gen 206 : 0.0
Gen 207 : 0.0
Gen 208 : 0.0
Gen 209 : 0.0
Gen 210 : 0.0
Gen 211 : 0.0
Gen 212 : 0.0
Gen 213 : 0.0
Gen 214 : 0.0
Gen 215 : 0.0
Gen 216 : 0.0
Gen 217 : 0.0
Gen 218 : 0.0
Gen 219 : 0.0
Gen 220 : 0.0
Gen 221 : 0.0
Gen 222 : 0.0
Gen 223 : 0.0
Gen 224 : 0.0
Gen 225 : 0.0
Gen 226 : 0.0
Gen 227 : 0.0
Gen 228 : 0.0
Gen 229 : 0.0
Gen 230 : 0.0
Gen 231 : 0.0
Gen 232 : 0.0
Gen 233 : 0.0
Gen 234 : 0.0
Gen 235 : 0.0
Gen 236 : 0.0
Gen 237 : 0.0
Gen 238 : 0.0
Gen 239 : 0.0
Gen 240 : 0.0
Gen 241 : 0.0
Gen 242 : 0.0
Gen 243 : 0.0
Gen 244 : 0.0
Gen 245 : 0.0
Gen 246 : 0.0
Gen 247 : 0.0
Gen 248 : 0.0
Gen 249 : 0.0
Gen 250 : 0.0
Gen 251 : 0.0
Gen 252 : 0.0
Gen 253 : 0.0
Gen 254 : 0.0
Gen 255 : 0.0
Gen 256 : 0.0
Gen 257 : 0.0
Gen 258 : 0.0
Gen 259 : 0.0
Gen 260 : 0.0
Gen 261 : 0.0
Gen 262 : 0.0
Gen 263 : 0.0
Gen 264 : 0.0
Gen 265 : 0.0
Gen 266 : 0.0
Gen 267 : 0.0
Gen 268 : 0.0
Gen 269 : 0.0
Gen 270 : 0.0
Gen 271 : 0.0
Gen 272 : 0.0
Gen 273 : 0.0
Gen 274 : 0.0
Gen 275 : 0.0
Gen 276 : 0.0
Gen 277 : 0.0
Gen 278 : 0.0
Gen 279 : 0.0
Gen 280 : 0.0
Gen 281 : 0.0
Gen 282 : 0.0
Gen 283 : 0.0
Gen 284 : 0.0
Gen 285 : 0.0
Gen 286 : 0.0
Gen 287 : 0.0
Gen 288 : 0.0
Gen 289 : 0.0
Gen 290 : 0.0
Gen 291 : 0.0
Gen 292 : 0.0
Gen 293 : 0.0
Gen 294 : 0.0
Gen 295 : 0.0
Gen 296 : 0.0
Gen 297 : 0.0
Gen 298 : 0.0
Gen 299 : 0.0
Gen 300 : 0.0
Gen 301 : 0.0
Gen 302 : 0.0
Gen 303 : 0.0
Gen 304 : 0.0
Gen 305 : 0.0
Gen 306 : 0.0
Gen 307 : 0.0
Gen 308 : 0.0
Gen 309 : 0.0
Gen 310 : 0.0
Gen 311 : 0.0
Gen 312 : 0.0
Gen 313 : 0.0
Gen 314 : 0.0
Gen 315 : 0.0
Gen 316 : 0.0
Gen 317 : 0.0
Gen 318 : 0.0
Gen 319 : 0.0
Gen 320 : 0.0
Gen 321 : 0.0
Gen 322 : 0.0
Gen 323 : 0.0
Gen 324 : 0.0
Gen 325 : 0.0
Gen 326 : 0.0
Gen 327 : 0.0
Gen 328 : 0.0
Gen 329 : 0.0
Gen 330 : 0.0
Gen 331 : 0.0
Gen 332 : 0.0
Gen 333 : 0.0
Gen 334 : 0.0
Gen 335 : 0.0
Gen 336 : 0.0
Gen 337 : 0.0
Gen 338 : 0.0
Gen 339 : 0.0
Gen 340 : 0.0
Gen 341 : 0.0
Gen 342 : 0.0
Gen 343 : 0.0
Gen 344 : 0.0
Gen 345 : 0.0
Gen 346 : 0.0
Gen 347 : 0.0
Gen 348 : 0.0
Gen 349 : 0.0
Gen 350 : 0.0
Gen 351 : 0.0
Gen 352 : 0.0
Gen 353 : 0.0
Gen 354 : 0.0
Gen 355 : 0.0
Gen 356 : 0.0
Gen 357 : 0.0
Gen 358 : 0.0
Gen 359 : 0.0
Gen 360 : 0.0
Gen 361 : 0.0
Gen 362 : 0.0
Gen 363 : 0.0
Gen 364 : 0.0
Gen 365 : 0.0
Gen 366 : 0.0
Gen 367 : 0.0
Gen 368 : 0.0
Gen 369 : 0.0
Gen 370 : 0.0
Gen 371 : 0.0
Gen 372 : 0.0
Gen 373 : 0.0
Gen 374 : 0.0
Gen 375 : 0.0
Gen 376 : 0.0
Gen 377 : 0.0
Gen 378 : 0.0
Gen 379 : 0.0
Gen 380 : 0.0
Gen 381 : 0.0
Gen 382 : 0.0
Gen 383 : 0.0
Gen 384 : 0.0
