---Min Power Records---
Gen 1 : 1634.4224253469881
Gen 2 : 1585.0361580695446
Gen 3 : 1509.750863950835
Gen 4 : 1355.8351270040864
Gen 5 : 1355.8351270040864
Gen 6 : 1355.8351270040864
Gen 7 : 1355.8351270040864
Gen 8 : 1355.8351270040864
Gen 9 : 1333.0355793508695
Gen 10 : 1333.0355793508695
Gen 11 : 1333.0355793508695
Gen 12 : 1333.0355793508695
Gen 13 : 1333.0355793508695
Gen 14 : 1333.0355793508695
Gen 15 : 1333.0355793508695
Gen 16 : 1325.4412034428
Gen 17 : 1304.8729722206215
Gen 18 : 1304.8729722206215
Gen 19 : 1274.4550264843049
Gen 20 : 1274.4550264843049
Gen 21 : 1274.4550264843049
Gen 22 : 1266.5161844300771
Gen 23 : 1266.5161844300771
Gen 24 : 1265.6415685010109
Gen 25 : 1262.9050946460545
Gen 26 : 1262.9050946460545
Gen 27 : 1262.9050946460545
Gen 28 : 1262.2147192349523
Gen 29 : 1262.000444870295
Gen 30 : 1261.9991280746817
Gen 31 : 1261.9991280746817
Gen 32 : 1261.9991280746817
Gen 33 : 1261.9991280746817
Gen 34 : 1190.5313810860277
Gen 35 : 1190.5313810860277
Gen 36 : 1190.5313810860277
Gen 37 : 1157.419268787528
Gen 38 : 1134.8480916219992
Gen 39 : 1134.8480916219992
Gen 40 : 1134.8480916219992
Gen 41 : 1134.8480916219992
Gen 42 : 1134.8480916219992
Gen 43 : 1134.8480916219992
Gen 44 : 1134.8480916219992
Gen 45 : 1134.8480916219992
Gen 46 : 1134.8480916219992
Gen 47 : 1134.8480916219992
Gen 48 : 1134.8480916219992
Gen 49 : 1134.8480916219992
Gen 50 : 1134.8480916219992
Gen 51 : 1134.8480916219992
Gen 52 : 1134.8480916219992
Gen 53 : 1134.8480916219992
Gen 54 : 1134.845364436555
Gen 55 : 1134.845364436555
Gen 56 : 1134.845364436555
Gen 57 : 1134.845364436555
Gen 58 : 1134.845364436555
Gen 59 : 1134.845364436555
Gen 60 : 1134.845364436555
Gen 61 : 1134.8133379557992
Gen 62 : 1134.811697055686
Gen 63 : 1134.811697055686
Gen 64 : 1134.811697055686
Gen 65 : 1134.811697055686
Gen 66 : 1134.811697055686
Gen 67 : 1134.811697055686
Gen 68 : 1134.811697055686
Gen 69 : 1134.811697055686
Gen 70 : 1134.811697055686
Gen 71 : 1134.811697055686
Gen 72 : 1134.811697055686
Gen 73 : 1134.811697055686
Gen 74 : 1134.811697055686
Gen 75 : 1134.811697055686
Gen 76 : 1134.811697055686
Gen 77 : 1134.811697055686
Gen 78 : 1134.811697055686
Gen 79 : 1134.811697055686
Gen 80 : 1134.811697055686
Gen 81 : 1134.811697055686
Gen 82 : 1134.811697055686
Gen 83 : 1134.811697055686
Gen 84 : 1134.811697055686
Gen 85 : 1134.811697055686
Gen 86 : 1134.811697055686
Gen 87 : 1134.811697055686
Gen 88 : 1134.811697055686
Gen 89 : 1134.811697055686
Gen 90 : 1134.811697055686
Gen 91 : 1134.811697055686
Gen 92 : 1134.811697055686
Gen 93 : 1134.811697055686
Gen 94 : 1134.811697055686
Gen 95 : 1134.811697055686
Gen 96 : 1134.811697055686
Gen 97 : 1134.811697055686
Gen 98 : 1134.811697055686
Gen 99 : 1134.811697055686
Gen 100 : 1134.811697055686
Gen 101 : 1134.811697055686
Gen 102 : 1134.811697055686
Gen 103 : 1134.811697055686
Gen 104 : 1134.811697055686
Gen 105 : 1134.811697055686
Gen 106 : 1134.811697055686
Gen 107 : 1134.811697055686
Gen 108 : 1134.811697055686
Gen 109 : 1134.811697055686
Gen 110 : 1134.811697055686
Gen 111 : 1134.811697055686
Gen 112 : 1134.811697055686
Gen 113 : 1134.811697055686
Gen 114 : 1134.811697055686
Gen 115 : 1134.811697055686
Gen 116 : 1134.811697055686
Gen 117 : 1134.811697055686
