---Min Power Records---
Gen 113 : 2288.8449017305616
Gen 114 : 2288.8449017305616
Gen 115 : 2288.8449017305616
Gen 116 : 2288.8449017305616
Gen 117 : 2288.8449017305616
Gen 118 : 2288.8449017305616
Gen 119 : 2288.8449017305616
Gen 120 : 2288.8449017305616
Gen 121 : 2288.8449017305616
Gen 122 : 2288.8449017305616
Gen 123 : 2288.8449017305616
Gen 124 : 2288.8449017305616
Gen 125 : 2288.8449017305616
Gen 126 : 2288.8449017305616
Gen 127 : 2288.8449017305616
Gen 128 : 2288.8449017305616
Gen 129 : 2288.8449017305616
Gen 130 : 2288.8449017305616
Gen 131 : 2288.8449017305616
Gen 132 : 2288.8449017305616
Gen 133 : 2288.8449017305616
Gen 134 : 2288.8449017305616
Gen 135 : 2288.8449017305616
Gen 136 : 2288.8449017305616
Gen 137 : 2288.8449017305616
Gen 138 : 2288.8449017305616
Gen 139 : 2288.8449017305616
Gen 140 : 2288.8449017305616
Gen 141 : 2288.8449017305616
Gen 142 : 2288.8449017305616
Gen 143 : 2288.8449017305616
Gen 144 : 2288.8449017305616
Gen 145 : 2288.8449017305616
Gen 146 : 2288.8449017305616
Gen 147 : 2288.8449017305616
Gen 148 : 2288.8449017305616
Gen 149 : 2288.8449017305616
Gen 150 : 2288.8449017305616
Gen 151 : 2288.8449017305616
Gen 152 : 2288.8449017305616
Gen 153 : 2288.8449017305616
Gen 154 : 2288.8449017305616
Gen 155 : 2288.8449017305616
Gen 156 : 2288.8449017305616
Gen 157 : 2288.8449017305616
Gen 158 : 2288.8449017305616
Gen 159 : 2288.8449017305616
Gen 160 : 2288.8449017305616
Gen 161 : 2288.8449017305616
Gen 162 : 2288.8449017305616
Gen 163 : 2288.8449017305616
Gen 164 : 2288.8449017305616
Gen 165 : 2288.8449017305616
Gen 166 : 2288.8449017305616
Gen 167 : 2288.8449017305616
Gen 168 : 2288.8449017305616
Gen 169 : 2288.8449017305616
Gen 170 : 2288.8449017305616
Gen 171 : 2288.8449017305616
Gen 172 : 2288.8449017305616
Gen 173 : 2288.8449017305616
Gen 174 : 2288.8449017305616
Gen 175 : 2288.8449017305616
Gen 176 : 2288.8449017305616
Gen 177 : 2288.8449017305616
Gen 178 : 2288.8449017305616
Gen 179 : 2288.8449017305616
Gen 180 : 2288.8449017305616
Gen 181 : 2288.8449017305616
Gen 182 : 2288.8449017305616
Gen 183 : 2288.8449017305616
Gen 184 : 2288.8449017305616
Gen 185 : 2288.8449017305616
Gen 186 : 2288.8449017305616
Gen 187 : 2288.8449017305616
Gen 188 : 2288.8449017305616
Gen 189 : 2288.8449017305616
Gen 190 : 2288.8449017305616
Gen 191 : 2288.8449017305616
Gen 192 : 2288.8449017305616
Gen 193 : 2288.8449017305616
Gen 194 : 2288.8449017305616
Gen 195 : 2288.8449017305616
Gen 196 : 2288.8449017305616
Gen 197 : 2288.8449017305616
Gen 198 : 2288.8449017305616
Gen 199 : 2288.8449017305616
Gen 200 : 2288.8449017305616
Gen 201 : 2288.8449017305616
Gen 202 : 2288.8449017305616
Gen 203 : 2288.8449017305616
Gen 204 : 2288.8449017305616
Gen 205 : 2288.8449017305616
Gen 206 : 2288.8449017305616
Gen 207 : 2288.8449017305616
Gen 208 : 2288.8449017305616
Gen 209 : 2288.8449017305616
Gen 210 : 2288.8449017305616
Gen 211 : 2288.8449017305616
Gen 212 : 2288.8449017305616
Gen 213 : 2288.8449017305616
Gen 214 : 2288.8449017305616
Gen 215 : 2288.8449017305616
Gen 216 : 2288.8449017305616
Gen 217 : 2288.8449017305616
Gen 218 : 2288.8449017305616
Gen 219 : 2288.8449017305616
Gen 220 : 2288.8449017305616
Gen 221 : 2288.8449017305616
Gen 222 : 2288.8449017305616
Gen 223 : 2288.8449017305616
Gen 224 : 2288.8449017305616
Gen 225 : 2288.8449017305616
Gen 226 : 2288.8449017305616
Gen 227 : 2284.813908367604
Gen 228 : 2284.813908367604
Gen 229 : 2284.813908367604
Gen 230 : 2284.813908367604
Gen 231 : 2284.813908367604
Gen 232 : 0.0
Gen 233 : 0.0
Gen 234 : 0.0
Gen 235 : 0.0
Gen 236 : 0.0
Gen 237 : 0.0
Gen 238 : 0.0
Gen 239 : 0.0
Gen 240 : 0.0
Gen 241 : 0.0
Gen 242 : 0.0
Gen 243 : 0.0
Gen 244 : 0.0
Gen 245 : 0.0
Gen 246 : 0.0
Gen 247 : 0.0
Gen 248 : 0.0
Gen 249 : 0.0
Gen 250 : 0.0
Gen 251 : 0.0
Gen 252 : 0.0
Gen 253 : 0.0
Gen 254 : 0.0
Gen 255 : 0.0
Gen 256 : 0.0
Gen 257 : 0.0
Gen 258 : 0.0
Gen 259 : 0.0
Gen 260 : 0.0
Gen 261 : 0.0
Gen 262 : 0.0
Gen 263 : 0.0
Gen 264 : 0.0
Gen 265 : 0.0
Gen 266 : 0.0
Gen 267 : 0.0
Gen 268 : 0.0
Gen 269 : 0.0
Gen 270 : 0.0
Gen 271 : 0.0
Gen 272 : 0.0
Gen 273 : 0.0
Gen 274 : 0.0
Gen 275 : 0.0
Gen 276 : 0.0
Gen 277 : 0.0
Gen 278 : 0.0
Gen 279 : 0.0
Gen 280 : 0.0
Gen 281 : 0.0
Gen 282 : 0.0
Gen 283 : 0.0
Gen 284 : 0.0
Gen 285 : 0.0
Gen 286 : 0.0
Gen 287 : 0.0
Gen 288 : 0.0
Gen 289 : 0.0
Gen 290 : 0.0
Gen 291 : 0.0
Gen 292 : 0.0
Gen 293 : 0.0
Gen 294 : 0.0
Gen 295 : 0.0
Gen 296 : 0.0
Gen 297 : 0.0
Gen 298 : 0.0
Gen 299 : 0.0
Gen 300 : 0.0
Gen 301 : 0.0
Gen 302 : 0.0
Gen 303 : 0.0
Gen 304 : 0.0
Gen 305 : 0.0
Gen 306 : 0.0
Gen 307 : 0.0
Gen 308 : 0.0
