---Min Power Records---
Gen 1 : 3534.755385753951
Gen 2 : 3118.3655498599983
Gen 3 : 3118.3655498599983
Gen 4 : 3118.3655498599983
Gen 5 : 3118.3655498599983
Gen 6 : 2871.393339578712
Gen 7 : 2871.393339578712
Gen 8 : 2871.393339578712
Gen 9 : 2871.393339578712
Gen 10 : 2871.393339578712
Gen 11 : 2871.393339578712
Gen 12 : 2871.393339578712
Gen 13 : 2871.393339578712
Gen 14 : 2871.393339578712
Gen 15 : 2871.393339578712
Gen 16 : 2871.393339578712
Gen 17 : 2871.393339578712
Gen 18 : 2871.393339578712
Gen 19 : 2871.393339578712
Gen 20 : 2871.393339578712
Gen 21 : 2871.393339578712
Gen 22 : 2871.393339578712
Gen 23 : 2871.393339578712
Gen 24 : 2871.393339578712
Gen 25 : 2871.393339578712
Gen 26 : 2871.393339578712
Gen 27 : 2871.393339578712
Gen 28 : 2871.393339578712
Gen 29 : 2871.393339578712
Gen 30 : 2871.393339578712
Gen 31 : 2871.393339578712
Gen 32 : 2871.393339578712
Gen 33 : 2871.393339578712
Gen 34 : 2871.393339578712
Gen 35 : 2871.393339578712
Gen 36 : 2871.393339578712
Gen 37 : 2871.393339578712
Gen 38 : 2871.393339578712
Gen 39 : 2871.393339578712
Gen 40 : 2871.393339578712
Gen 41 : 2871.393339578712
Gen 42 : 2871.393339578712
Gen 43 : 2871.393339578712
Gen 44 : 2871.393339578712
Gen 45 : 2871.393339578712
Gen 46 : 2871.393339578712
Gen 47 : 2871.393339578712
Gen 48 : 2871.393339578712
Gen 49 : 2871.393339578712
Gen 50 : 2871.393339578712
Gen 51 : 2871.393339578712
Gen 52 : 2871.393339578712
Gen 53 : 2871.393339578712
Gen 54 : 2871.393339578712
Gen 55 : 2871.393339578712
Gen 56 : 2871.393339578712
Gen 57 : 2871.393339578712
Gen 58 : 2871.393339578712
Gen 59 : 2871.393339578712
Gen 60 : 2871.393339578712
Gen 61 : 2871.393339578712
Gen 62 : 2871.393339578712
Gen 63 : 2871.393339578712
Gen 64 : 2871.393339578712
Gen 65 : 2871.393339578712
Gen 66 : 2871.393339578712
Gen 67 : 2871.393339578712
Gen 68 : 2871.393339578712
Gen 69 : 2871.393339578712
Gen 70 : 2871.393339578712
Gen 71 : 2871.393339578712
Gen 72 : 2871.393339578712
Gen 73 : 2871.393339578712
Gen 74 : 2871.393339578712
Gen 75 : 2871.393339578712
Gen 76 : 2871.393339578712
Gen 77 : 2871.393339578712
Gen 78 : 2871.393339578712
Gen 79 : 2871.393339578712
Gen 80 : 2871.393339578712
Gen 81 : 2871.393339578712
Gen 82 : 2871.393339578712
Gen 83 : 2871.393339578712
Gen 84 : 2871.393339578712
Gen 85 : 2871.393339578712
Gen 86 : 2871.393339578712
Gen 87 : 2871.393339578712
Gen 88 : 2871.393339578712
Gen 89 : 2871.393339578712
Gen 90 : 0.0
Gen 91 : 0.0
Gen 92 : 0.0
Gen 93 : 0.0
Gen 94 : 0.0
Gen 95 : 0.0
Gen 96 : 0.0
Gen 97 : 0.0
Gen 98 : 0.0
Gen 99 : 0.0
Gen 100 : 0.0
Gen 101 : 0.0
Gen 102 : 0.0
Gen 103 : 0.0
Gen 104 : 0.0
Gen 105 : 0.0
Gen 106 : 0.0
Gen 107 : 0.0
