---Min Power Records---
Gen 1 : 1460.830989261435
Gen 2 : 1460.830989261435
Gen 3 : 1369.6790314452594
Gen 4 : 1317.7623703556087
Gen 5 : 1317.7623703556087
Gen 6 : 1301.2523479015624
Gen 7 : 1301.2523479015624
Gen 8 : 1301.2523479015624
Gen 9 : 1301.2523479015624
Gen 10 : 1301.2523479015624
Gen 11 : 1301.2523479015624
Gen 12 : 1301.2523479015624
Gen 13 : 1301.2523479015624
Gen 14 : 1301.2523479015624
Gen 15 : 1301.2523479015624
Gen 16 : 1301.2523479015624
Gen 17 : 1301.2523479015624
Gen 18 : 1301.2523479015624
Gen 19 : 1301.2523479015624
Gen 20 : 1301.2523479015624
Gen 21 : 1301.2523479015624
Gen 22 : 1301.2523479015624
Gen 23 : 1301.2523479015624
Gen 24 : 1301.2523479015624
Gen 25 : 1301.2523479015624
Gen 26 : 1301.2523479015624
Gen 27 : 1301.2523479015624
Gen 28 : 1301.2523479015624
Gen 29 : 1301.2523479015624
Gen 30 : 1301.2523479015624
Gen 31 : 1301.2523479015624
Gen 32 : 1301.2523479015624
Gen 33 : 1301.2523479015624
Gen 34 : 1201.569630941843
Gen 35 : 1201.569630941843
Gen 36 : 1201.569630941843
Gen 37 : 1201.569630941843
Gen 38 : 1201.569630941843
Gen 39 : 1201.569630941843
Gen 40 : 1201.569630941843
Gen 41 : 1201.569630941843
Gen 42 : 997.8805076180176
Gen 43 : 997.8805076180176
Gen 44 : 997.8805076180176
Gen 45 : 997.8805076180176
Gen 46 : 997.8805076180176
Gen 47 : 997.8805076180176
Gen 48 : 997.8805076180176
Gen 49 : 997.8805076180176
Gen 50 : 997.8805076180176
Gen 51 : 997.8805076180176
Gen 52 : 997.8805076180176
Gen 53 : 997.8805076180176
Gen 54 : 997.8805076180176
Gen 55 : 997.8805076180176
Gen 56 : 997.8805076180176
Gen 57 : 997.8805076180176
Gen 58 : 997.8805076180176
Gen 59 : 997.8805076180176
Gen 60 : 997.8805076180176
Gen 61 : 997.8805076180176
Gen 62 : 997.8805076180176
Gen 63 : 997.8805076180176
Gen 64 : 997.8805076180176
Gen 65 : 997.8805076180176
Gen 66 : 892.6843146741776
Gen 67 : 892.6843146741776
Gen 68 : 892.6843146741776
Gen 69 : 892.6843146741776
Gen 70 : 892.6843146741776
Gen 71 : 892.6843146741776
Gen 72 : 892.6843146741776
Gen 73 : 892.6843146741776
Gen 74 : 892.6843146741776
Gen 75 : 892.6843146741776
Gen 76 : 892.6843146741776
Gen 77 : 892.6843146741776
Gen 78 : 892.6843146741776
Gen 79 : 892.6843146741776
Gen 80 : 892.6843146741776
Gen 81 : 892.6843146741776
Gen 82 : 892.6843146741776
Gen 83 : 892.6843146741776
Gen 84 : 885.1218005512036
Gen 85 : 885.1218005512036
Gen 86 : 885.1218005512036
Gen 87 : 885.1218005512036
Gen 88 : 885.1218005512036
Gen 89 : 885.1218005512036
Gen 90 : 885.1218005512036
Gen 91 : 885.1218005512036
Gen 92 : 885.1218005512036
Gen 93 : 885.1218005512036
Gen 94 : 885.1218005512036
Gen 95 : 885.1218005512036
Gen 96 : 885.1218005512036
Gen 97 : 885.1218005512036
Gen 98 : 885.1218005512036
Gen 99 : 885.1218005512036
Gen 100 : 885.1218005512036
Gen 101 : 885.1218005512036
Gen 102 : 885.1218005512036
Gen 103 : 885.1218005512036
Gen 104 : 885.1218005512036
Gen 105 : 885.1218005512036
Gen 106 : 885.1218005512036
Gen 107 : 885.1218005512036
Gen 108 : 885.1218005512036
Gen 109 : 885.1218005512036
Gen 110 : 885.1218005512036
Gen 111 : 885.1218005512036
